Composition_ID,Mo_mp,Nb_mp,Ti_mp,Zr_mp,T_eutectic,T_solvus,difference
1834,20,10,40,10,2461.706929,3313.498389,248.2930714
1835,20,10,45,5,2153.775734,3220.269041,1066.493307
1836,20,15,5,40,1657.275721,2881.116859,1223.841138
1837,20,15,10,35,1789.798282,3029.785098,1239.986816
1838,20,15,15,30,1848.865036,3135.032503,1286.167467
1839,20,15,20,25,1950.100959,3215.548133,1265.447175
1840,20,15,25,20,2206.630849,3274.298225,1067.667377
1841,20,15,30,15,2510.803907,3307.22561,419.1960934
1842,20,15,35,10,2611.29614,3301.047103,689.7509626
1843,20,15,40,5,2315.592038,3215.339752,899.7477146
1844,20,20,5,35,1657.582091,2890,1232.417909
1845,20,20,10,30,1801.407798,3068.003617,1188.592202
1846,20,20,15,25,1973.165231,3168.189425,1152.834769
1847,20,20,20,20,2277.388465,3239.571713,702.6115354
1848,20,20,25,15,2574.750745,3282.137414,165.2492554
1849,20,20,30,10,2672.504597,3284.398919,611.8943224
1850,20,20,35,5,2437.069747,3207.2869,770.2171523
1851,20,25,5,30,1657.417554,2920,1262.582446
1852,20,25,10,25,1938.625697,3100.983527,1001.374303
1853,20,25,15,20,2319.414978,3192.942867,365.3850219
1854,20,25,20,15,2601.245122,3249.05278,138.7548779
1855,20,25,25,10,2679.109431,3262.052306,80.89056855
1856,20,25,30,5,2502.435373,3195.06379,207.5646269
1857,20,30,5,25,1778.398837,2990.505102,1061.601163
1858,20,30,10,20,2316.504754,3126.246211,373.4952464
1859,20,30,15,15,2612.33372,3203.960607,227.6662802
1860,20,30,20,10,2666.354936,3231.663855,93.64506364
1861,20,30,25,5,2520.323487,3177.158097,656.8346095
1862,20,35,5,20,2185.454946,3015.70956,830.2546141
1863,20,35,10,15,2605.853555,3138.576005,214.1464447
1864,20,35,15,10,2646.657942,3189.173335,193.3420578
1865,20,35,20,5,2513.922018,3151.2228,276.0779822
1866,20,40,5,15,2466.136622,3028.839482,203.8633785
1867,20,40,10,10,2608.092654,3126.218049,211.9073461
1868,20,40,15,5,2497.039598,3113.203665,616.1640668
1869,20,45,5,10,2481.429612,3018.569447,388.570388
1870,20,45,10,5,2471.853102,3054.766876,582.9137737
1871,20,50,5,5,2424.325449,2951.818748,527.493299
1872,25,5,5,45,1652.052268,2864.638272,1212.586004
1874,25,5,15,35,1814.478024,3126.282464,1075.521976
1875,25,5,20,30,1838.475626,3214.499637,1376.024011
1876,25,5,25,25,1894.708687,3285.134442,1390.425755
1877,25,5,30,20,2064.070354,3337.176093,1273.105738
1878,25,5,35,15,2311.803922,3364.751684,1052.947762
1879,25,5,40,10,2387.511095,3353.222459,965.7113644
1880,25,5,45,5,2103.035416,3260.159331,1157.123915
1881,25,10,5,40,1650.750093,2910.070949,1259.320856
1882,25,10,10,35,1787.374872,3060.50143,1273.126557
1883,25,10,15,30,1838.468394,3167.547969,1329.079575
1884,25,10,20,25,1922.502079,3249.967552,1327.465474
1885,25,10,25,20,2156.982122,3310.695689,1153.713568
1886,25,10,30,15,2464.13132,3345.535364,255.8686802
1887,25,10,35,10,2581.420326,3340.852497,158.5796741
1888,25,10,40,5,2288.581149,3255.254743,391.4188505
1889,25,15,5,35,1651.198814,2952.360169,1301.161355
1890,25,15,10,30,1797.435821,3100.836828,1303.401007
1891,25,15,15,25,1945.468701,3202.929961,1257.46126
1892,25,15,20,20,2236.111129,3276.235733,743.8888707
1893,25,15,25,15,2556.065643,3320.631559,193.9343568
1894,25,15,30,10,2677.881221,3324.304538,646.4233178
1895,25,15,35,5,2437.936864,3247.255087,809.3182232
1896,25,20,5,30,1651.143437,2991.156937,1340.0135
1897,25,20,10,25,1913.821548,3135.912676,1222.091128
1898,25,20,15,20,2286.715222,3229.803223,943.0880009
1899,25,20,20,15,2599.864659,3287.696813,150.1353415
1900,25,20,25,10,2700.824297,3302.046634,79.17570329
1901,25,20,30,5,2522.193015,3235.089073,187.8069848
1902,25,25,5,25,1739.055182,3025.298818,1116.944818
1903,25,25,10,20,2291.754793,3163.141767,408.2452071
1904,25,25,15,15,2620.824267,3242.664248,229.1757328
1905,25,25,20,10,2692.853223,3271.696491,578.8432681
1906,25,25,25,5,2546.265301,3217.215233,670.9499319
1907,25,30,5,20,2173.813602,3052.259354,878.4457518
1908,25,30,10,15,2173.813602,3052.259354,552.4865071
1909,25,30,15,10,2673.564775,3229.135676,555.5709007
1910,25,30,20,5,2538.505777,3191.247484,652.7417069
1911,25,35,5,15,2500.945445,3066.843633,189.0545547
1912,25,35,10,10,2632.744386,3165.894017,313.2556144
1913,25,35,15,5,2517.432623,3153.070783,635.6381603
1914,25,40,5,10,2499.093532,3057.456765,558.3632331
1915,25,40,10,5,2487.119453,3094.235132,607.1156789
1916,25,45,5,5,2434.821197,2990.326505,555.5053079
1917,30,5,5,40,1648.0884,2935.010857,1286.922457
1919,30,5,15,30,1857.572824,3195.721978,1338.149154
1920,30,5,20,25,1857.572824,3195.721978,1320.059999
1921,30,5,25,20,2107.057082,3342.912767,1235.855685
1922,30,5,30,15,2390.491366,3379.881171,989.3898052
1923,30,5,35,10,2501.431177,3376.967459,875.5362818
1924,30,5,40,5,2217.231145,3291.755524,1074.524379
1925,30,10,5,35,1646.71259,2979.12075,1332.408161
1926,30,10,10,30,1801.864863,3129.34962,1327.484757
1927,30,10,15,25,1925.357023,3233.309712,694.6429775
1928,30,10,20,20,2191.468092,3308.616644,483.3319078
1929,30,10,25,15,2515.669316,3355.015708,224.3306837
1930,30,10,30,10,2647.043635,3360.340057,112.9563651
1931,30,10,35,5,2399.792741,3283.607426,883.8146853
1932,30,15,5,30,1645.95168,3019.794237,1373.842556
1933,30,15,10,25,1900.595065,3166.4821,1265.887036
1934,30,15,15,20,2251.036859,3262.315797,448.9631405
1935,30,15,20,15,2584.447954,3322.114878,737.6669244
1936,30,15,25,10,2701.622781,3338.015943,636.3931618
1937,30,15,30,5,2513.034902,3271.317883,758.2829806
1938,30,20,5,25,1723.138478,3055.789251,1332.650773
1939,30,20,10,20,2265.906344,3195.67269,929.7663455
1940,30,20,15,15,2620.612681,3277.063004,249.3873193
1941,30,20,20,10,2707.947343,3307.578509,82.05265746
1942,30,20,25,5,2553.886798,3253.319287,699.4324887
1944,30,25,10,15,2637.44793,3211.387045,573.9391149
1945,30,25,15,10,2694.350663,3264.85751,570.5068477
1946,30,25,20,5,2551.997195,3227.190595,675.1934002
1947,30,30,5,15,2532.708768,3100.530412,177.2912317
1948,30,30,10,10,2653.843431,3201.284066,547.4406341
1949,30,30,15,5,2653.843431,3201.284066,657.5954629
